time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647426155,2.0,0.01591693,300,21,512.0,30.949376,5731.0,5856.0,5924.0,5977.0,6102.0,6217.0,6334.0,6341.0,6515.0,0.003980839695807552,0.41237580310264454,-0.9110138292119659,0.0,0.0,0.0
1647426157,2.0,0.01588708,300,21,896.0,30.994432,5762.0,5879.0,5952.0,5994.0,6120.0,6228.0,6357.0,6457.0,6667.0,0.0039908923213020165,0.4122432971608559,-0.9110737972008339,0.0,0.0,0.0
1647426161,2.0,0.01581338,300,21,256.0,31.653888,5694.0,5801.0,5884.0,5955.0,6165.0,6798.0,7230.0,7300.0,7488.0,0.0040109975722909435,0.41197825909179786,-0.9111936753707697,0.0,0.0,0.0
1647426172,2.0,0.01608327,300,21,384.0,31.055872,5771.0,5951.0,6082.0,6157.0,7167.0,8243.0,8803.0,8898.0,9202.0,0.004066287012510493,0.4112492247427189,-0.9115229427439073,0.0,0.0,0.0
1647426245,2.0,0.016164480000000002,300,31,768.0,32.104448,8432.0,8572.0,8687.0,8764.0,9769.0,10034.0,10438.0,10677.0,10776.0,0.004433207843058411,0.40640444170603285,-0.9136932908594698,0.0,0.0,0.0
1647426247,2.0,0.017541789999999998,300,31,1024.0,33.312768,8424.0,8549.0,8641.0,8729.0,9051.0,9317.0,9895.0,9957.0,10069.0,0.0044432604685528745,0.4062715460889405,-0.913752390332579,0.0,0.0,0.0
1647426248,2.0,0.01672926,300,31,640.0,31.346688,8480.0,8659.0,8772.0,8868.0,9198.0,9397.0,9618.0,9682.0,9904.0,0.004448286781300106,0.4062050950839637,-0.9137819328088228,0.0,0.0,0.0
1647426249,2.0,0.016906650000000002,300,31,896.0,32.579584,8421.0,8564.0,8658.0,8707.0,8878.0,9025.0,9362.0,9609.0,9658.0,0.004453313094047338,0.40613864190417825,-0.9138114704643566,0.0,0.0,0.0
1647426255,2.0,0.01654368,300,31,256.0,31.739904,8426.0,8531.0,8618.0,8690.0,8794.0,8889.0,9053.0,9169.0,9274.0,0.0044834709705307285,0.40573987778583487,-0.9139885948819798,0.0,0.0,0.0
1647426267,2.0,0.01766179,300,31,384.0,31.760384,8548.0,8716.0,8870.0,9040.0,10344.0,10786.0,11023.0,11147.0,11261.0,0.0045437867234975095,0.4049421178703437,-0.9143423216578573,0.0,0.0,0.0
1647426341,2.0,0.017805770000000002,300,41,1024.0,33.214464,11523.0,11754.0,11896.0,11955.0,12147.0,12330.0,12514.0,12626.0,13017.0,0.00491573386679266,0.40001580720335284,-0.9165082399997558,0.0,0.0,0.0
1647426342,2.0,0.01817288,300,41,512.0,32.31744,11557.0,11743.0,11919.0,12000.0,12195.0,12376.0,12524.0,12719.0,12768.0,0.004920760179539891,0.3999491558039297,-0.9165373275386682,0.0,0.0,0.0
1647426343,2.0,0.01799359,300,41,128.0,33.533952,11771.0,11941.0,12069.0,12135.0,12346.0,12502.0,12679.0,12852.0,13001.0,0.004925786492287123,0.3998825022627022,-0.9165664102421166,0.0,0.0,0.0
1647426344,2.0,0.01768847,300,41,640.0,32.428032,11698.0,11911.0,12049.0,12126.0,12336.0,12584.0,12801.0,12856.0,13004.0,0.004930812805034355,0.3998158466066969,-0.9165954880983052,0.0,0.0,0.0
1647426345,2.0,0.018153429999999998,300,41,896.0,32.780288,11626.0,11859.0,11981.0,12064.0,12234.0,12549.0,12732.0,12861.0,13341.0,0.004935839117781587,0.39974918884960475,-0.916624561101263,0.0,0.0,0.0
1647426352,2.0,0.01782141,300,41,256.0,32.600064,11613.0,11858.0,11995.0,12074.0,12330.0,12684.0,12812.0,12913.0,13064.0,0.004971023307012209,0.3992825253356613,-0.9168279363989609,0.0,0.0,0.0
1647426366,2.0,0.01776957,300,41,384.0,32.84992,11911.0,12257.0,12611.0,12817.0,13387.0,13663.0,13907.0,14183.0,14407.0,0.005041391685473453,0.398348888036233,-0.9172339741855928,0.0,0.0,0.0
1647426435,2.0,0.01775258,300,51,768.0,35.16416,14154.0,14420.0,14574.0,14689.0,14928.0,15245.0,15517.0,15893.0,16046.0,0.005388207265032445,0.3937413760019301,-0.9192212621692922,0.0,0.0,0.0
1647426436,2.0,0.01783225,300,51,1024.0,33.71008,14110.0,14388.0,14579.0,14665.0,14897.0,15252.0,15779.0,16032.0,16211.0,0.005393233577779676,0.39367452730923586,-0.919249893417372,0.0,0.0,0.0
1647426438,2.0,0.017692,300,51,512.0,33.77152,14298.0,14580.0,14743.0,14861.0,15134.0,15419.0,16138.0,16346.0,16521.0,0.00540328620327414,0.39354082366498455,-0.9193071413347584,0.0,0.0,0.0
1647426439,2.0,0.01789213,300,51,128.0,33.746944,14478.0,14738.0,14846.0,14929.0,15152.0,15513.0,15892.0,16021.0,16412.0,0.005408312516021372,0.3934739687141338,-0.9193357580037604,0.0,0.0,0.0
1647426441,2.0,0.018364389999999998,300,51,640.0,34.287616,14377.0,14641.0,14779.0,14871.0,15198.0,15404.0,15773.0,15893.0,16104.0,0.005418365141515835,0.39334025259688465,-0.919392976744449,0.0,0.0,0.0
1647426443,2.0,0.01783598,300,51,896.0,34.164736,14537.0,14736.0,14869.0,14959.0,15223.0,15491.0,15827.0,15965.0,16633.0,0.005428417767010299,0.39320652813216245,-0.9194501760477568,0.0,0.0,0.0
1647426450,2.0,0.01775357,300,51,256.0,34.828288,14482.0,14800.0,14986.0,15182.0,15909.0,16570.0,16825.0,16948.0,16991.0,0.005463601956240921,0.39273842710112794,-0.9196502203980229,0.0,0.0,0.0
1647426469,2.0,0.01848056,300,51,384.0,34.709504,14742.0,15244.0,15601.0,16205.0,19125.0,19833.0,20377.0,20919.0,21504.0,0.005559101898438325,0.39146735442052594,-0.9201919965001838,0.0,0.0,0.0
1647426502,2.0,0.01776059,400,1,512.0,33.77152,135.0,146.0,151.0,155.0,169.0,180.0,199.0,231.0,240.0,0.005724970219096973,0.38925792700462397,-0.9211288000405062,0.0,0.0,0.0
1647426505,2.0,0.01788447,400,1,768.0,33.763328,149.0,157.0,161.0,164.0,174.0,183.0,191.0,222.0,237.0,0.005740049157338668,0.3890569586141774,-0.9212137010237561,0.0,0.0,0.0
